family,N,dtype,k,tol,t_cpu_s,t_gpu_s,speedup,residual_cpu,residual_gpu,rss_delta_bytes,gpu_pool_used_bytes,gpu_pool_total_bytes
complex_general_eigs_complex64,512,complex64,16,1e-06,0.02527710099820979,nan,nan,3.616631829572725e-07,nan,nan,nan,nan
complex_general_eigs_complex64,512,complex64,24,1e-06,0.024030599000980146,nan,nan,2.058299912732764e-07,nan,nan,nan,nan
complex_general_eigs_complex64,512,complex64,32,1e-06,0.03023120400030166,nan,nan,1.8448616856403532e-07,nan,nan,nan,nan
complex_general_eigs_complex128,512,complex128,2,1e-06,0.0028002699982607737,nan,nan,1.1288560593136853e-08,nan,nan,nan,nan
complex_general_eigs_complex128,512,complex128,4,1e-06,0.006510386003355961,nan,nan,1.1494939764744949e-08,nan,nan,nan,nan
complex_general_eigs_complex128,512,complex128,8,1e-06,0.010644524001691025,nan,nan,4.059982798819315e-08,nan,nan,nan,nan
complex_general_eigs_complex128,512,complex128,16,1e-06,0.04514827900129603,nan,nan,4.063219653052484e-08,nan,nan,nan,nan
complex_general_eigs_complex128,512,complex128,24,1e-06,0.03550651600380661,nan,nan,3.143436818772634e-08,nan,nan,nan,nan
complex_general_eigs_complex128,512,complex128,32,1e-06,0.04320860200095922,nan,nan,3.219096235906621e-08,nan,nan,nan,nan
complex_general_eigs_complex64,512,complex64,16,0.01,0.008225311001297086,nan,nan,0.0003738508385140449,nan,nan,nan,nan
complex_general_eigs_complex64,512,complex64,16,0.0001,0.023366663997876458,nan,nan,3.549999973984086e-06,nan,nan,nan,nan
complex_general_eigs_complex64,512,complex64,16,1e-06,0.028125436998379882,nan,nan,1.2643055015360005e-05,nan,nan,nan,nan
complex_general_eigs_complex128,512,complex128,16,0.01,0.01258138599951053,nan,nan,0.00028191346776696563,nan,nan,nan,nan
complex_general_eigs_complex128,512,complex128,16,0.0001,0.038825856005132664,nan,nan,3.864768524558533e-06,nan,nan,nan,nan
complex_general_eigs_complex128,512,complex128,16,1e-06,0.04064489700249396,nan,nan,4.278378322643532e-08,nan,nan,nan,nan
