family,N,dtype,cpu_solver,gpu_solver,t_cpu_s,t_gpu_s,gflops_cpu,gflops_gpu,speedup,residual_cpu,residual_gpu,rss_delta_bytes,gpu_pool_used_delta_bytes,gpu_pool_total_delta_bytes,theo_bytes
complex_hermitian_eigh_complex64,2048,<class 'numpy.complex64'>,eigh,eigh,0.7373505130017293,0.0934553108215332,15.532973695293009,122.5531863516921,7.889872780047884,2.4226910682045855e-06,2.079126488752081e-06,,33562624,273125376,67125248
complex_hermitian_eigh_complex128,256,<class 'numpy.complex128'>,eigh,eigh,0.005675716500263661,0.009358848094940185,3.9412858856312094,2.3902109646835017,0.6064546023919556,3.685331471234715e-15,3.1309642904880236e-15,,1050624,0,2101248
complex_hermitian_eigh_complex128,384,<class 'numpy.complex128'>,eigh,eigh,0.010047579498859704,0.01690715217590332,7.513995983666332,4.465416246007515,0.5942798286975778,4.358666849960869e-15,3.4398658548872307e-15,,2362368,0,4724736
complex_hermitian_eigh_complex128,512,<class 'numpy.complex128'>,eigh,eigh,0.018795121999573894,0.028448111534118654,9.521458316190968,6.290645002992143,0.6606808320837871,4.093726735814936e-15,3.883855379501169e-15,,4198400,0,8396800
complex_hermitian_eigh_complex128,768,<class 'numpy.complex128'>,eigh,eigh,0.06782715349982027,0.06545040130615234,8.904690007396528,9.228053059213646,1.0363137909964886,4.290357639587055e-15,4.473698428240097e-15,,9443328,0,18886656
complex_hermitian_eigh_complex128,1024,<class 'numpy.complex128'>,eigh,eigh,0.15145918799862557,0.1277556953430176,9.452419389349458,11.206199156048658,1.185537659138916,3.884252829009952e-15,4.942652647905611e-15,,16785408,69717504,33570816
complex_hermitian_eigh_complex128,1536,<class 'numpy.complex128'>,eigh,eigh,0.4923159515019506,0.3664075164794922,9.814506707042694,13.187060828951191,1.3436295091110815,3.796726578912513e-15,5.817480967041514e-15,,37761024,347036672,75522048
complex_general_eig_complex64,128,<class 'numpy.complex64'>,eig,,0.005438940999738406,,2.5705396204896815,,,2.470105982865789e-06,,,,,263168
complex_general_eig_complex64,192,<class 'numpy.complex64'>,eig,,0.011179555001945118,,4.220733293211597,,,3.010466116393218e-06,,,,,591360
complex_general_eig_complex64,256,<class 'numpy.complex64'>,eig,,0.02006412949958758,,5.574530739993765,,,3.40952988153731e-06,,,,,1050624
complex_general_eig_complex64,384,<class 'numpy.complex64'>,eig,,0.03826757450042351,,9.864418242546893,,,3.90303421227145e-06,,,,,2362368
complex_general_eig_complex64,512,<class 'numpy.complex64'>,eig,,0.12045923400000902,,7.42811342576914,,,4.474460638448363e-06,,,,,4198400
complex_general_eig_complex64,768,<class 'numpy.complex64'>,eig,,0.2821951155001443,,10.701456949911154,,,5.0372668738418724e-06,,,,,9443328
complex_general_eig_complex64,1024,<class 'numpy.complex64'>,eig,,0.5143408789990644,,13.917382652137373,,,5.373994554247474e-06,,,,,16785408
complex_general_eig_complex128,128,<class 'numpy.complex128'>,eig,,0.014961150000090129,,0.9344878791569572,,,5.538207694644973e-15,,,,,526336
complex_general_eig_complex128,192,<class 'numpy.complex128'>,eig,,0.030444254502072,,1.549912151627447,,,7.097653461561521e-15,,,,,1182720
complex_general_eig_complex128,256,<class 'numpy.complex128'>,eig,,0.05194190499969409,,2.1533308542943392,,,7.62529629495691e-15,,,,,2101248
complex_general_eig_complex128,384,<class 'numpy.complex128'>,eig,,0.10132989550038474,,3.725330596028955,,,8.642759082352991e-15,,,,,4724736
complex_general_eig_complex128,512,<class 'numpy.complex128'>,eig,,0.2465716414990311,,3.628904150913273,,,9.66160844049885e-15,,,,,8396800
